LOCFileNumber,order_office,OrderDate,CustomerName,snapshot_date,wo_count,has_wo_flag
LOC-2-2603-001075,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001076,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001077,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001078,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001079,FKSCLG,2026-03-29,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001080,FKSCLG,2026-03-29,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001081,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001082,FKSCLG,2026-03-29,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001083,FKSCLG,2026-03-29,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001084,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001085,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001086,FKSCLG,2026-03-29,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001087,FKSCLG,2026-03-29,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001088,FKSCLG,2026-03-29,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001089,FKSCLG,2026-03-29,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001090,FKSCLG,2026-03-25,FKS Pangan nusantara,2026-03-30,1,1
LOC-2-2603-001091,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001092,FKSCLG,2026-03-28,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001093,FKSCLG,2026-03-28,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001094,FKSCLG,2026-03-28,PT Fokus Ritel Indoprima,2026-03-30,1,1
LOC-2-2603-001095,FKSCLG,2026-03-28,PT Fokus Ritel Indoprima,2026-03-30,1,1
LOC-2-2603-001096,FKSCLG,2026-03-29,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001097,FKSCLG,2026-03-30,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001098,FKSCLG,2026-03-30,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001099,FKSCLG,2026-03-29,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001100,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001101,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001102,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001103,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
