order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-000723,4144000
FKSCLG,LOC-2-2603-000724,4144000
FKSCLG,LOC-2-2603-000728,6448614
FKSCLG,LOC-2-2603-000744,4760300
FKSCLG,LOC-2-2603-000745,1740000
FKSCLG,LOC-2-2603-000746,5589920
FKSCLG,LOC-2-2603-000750,3349440
FKSCLG,LOC-2-2603-000751,3906500
FKSCLG,LOC-2-2603-000752,2147210
FKSCLG,LOC-2-2603-000753,2056740
FKSCLG,LOC-2-2603-000754,2411980
FKSCLG,LOC-2-2603-000755,2517390
FKSCLG,LOC-2-2603-000756,2021880
FKSCLG,LOC-2-2603-000757,2169620
FKSCLG,LOC-2-2603-000758,2481700
FKSCLG,LOC-2-2603-000759,2450160
FKSCLG,LOC-2-2603-000760,2445180
FKSCLG,LOC-2-2603-000761,2450160
FKSCLG,LOC-2-2603-000762,2137250
FKSCLG,LOC-2-2603-000763,1985360
FKSCLG,LOC-2-2603-000764,2019390
FKSCLG,LOC-2-2603-000768,8765250
FKSCLG,LOC-2-2603-000770,3909750
FKSCLG,LOC-2-2603-000771,5887350
FKSCLG,LOC-2-2603-000772,5867750
FKSCLG,LOC-2-2603-000773,3350400
FKSCLG,LOC-2-2603-000775,4192200
FKSCLG,LOC-2-2603-000776,3951080
FKSCLG,LOC-2-2603-000777,4131920
FKSCLG,LOC-2-2603-000778,2783820
FKSCLG,LOC-2-2603-000779,2706420
FKSCLG,LOC-2-2603-000780,2856920
FKSCLG,LOC-2-2603-000786,5389200
FKSCLG,LOC-2-2603-000787,5405400
FKSCLG,LOC-2-2603-000788,3000000
FKSCLG,LOC-2-2603-000794,2264380
FKSCLG,LOC-2-2603-000795,2064210
FKSCLG,LOC-2-2603-000798,1931410
FKSCLG,LOC-2-2603-000800,2733940
FKSCLG,LOC-2-2603-000801,2524100
FKSCLG,LOC-2-2603-000802,2717600
FKSCLG,LOC-2-2603-000803,2646220
FKSCLG,LOC-2-2603-000804,2604080
FKSCLG,LOC-2-2603-000805,1872220
FKSCLG,LOC-2-2603-000806,2377040
FKSCLG,LOC-2-2603-000807,2068300
FKSCLG,LOC-2-2603-000808,2143120
FKSCLG,LOC-2-2603-000809,4282620
FKSCLG,LOC-2-2603-000810,3997660
FKSCLG,LOC-2-2603-000811,4364820
FKSCLG,LOC-2-2603-000812,4194940
FKSCLG,LOC-2-2603-000813,4129180
FKSCLG,LOC-2-2603-000814,4564840
FKSCLG,LOC-2-2603-000816,4216860
FKSCLG,LOC-2-2603-000830,9122100
FKSCLG,LOC-2-2603-000831,9127950
FKSCLG,LOC-2-2603-000832,9241050
FKSCLG,LOC-2-2603-000833,5889800
FKSCLG,LOC-2-2603-000834,5862850
FKSCLG,LOC-2-2603-000836,2870784
FKSCLG,LOC-2-2603-000837,2026860
FKSCLG,LOC-2-2603-000838,2010260
FKSCLG,LOC-2-2603-000839,2070020
FKSCLG,LOC-2-2603-000840,2019390
FKSCLG,LOC-2-2603-000841,2096680
FKSCLG,LOC-2-2603-000842,2132800
FKSCLG,LOC-2-2603-000843,2228260
FKSCLG,LOC-2-2603-000844,2543880
FKSCLG,LOC-2-2603-000847,2093000
FKSCLG,LOC-2-2603-000848,2197638.24
FKSCLG,LOC-2-2603-000849,2143890
FKSCLG,LOC-2-2603-000850,2407830
FKSCLG,LOC-2-2603-000851,2046780
FKSCLG,LOC-2-2603-000852,2022710
FKSCLG,LOC-2-2603-000853,2004450
FKSCLG,LOC-2-2603-000854,1967930
FKSCLG,LOC-2-2603-000862,2695840
FKSCLG,LOC-2-2603-000863,2536480
FKSCLG,LOC-2-2603-000864,2652240
FKSCLG,LOC-2-2603-000875,2716740
FKSCLG,LOC-2-2603-000876,2695240
FKSCLG,LOC-2-2603-000877,2605800
FKSCLG,LOC-2-2603-000878,2653100
FKSCLG,LOC-2-2603-000889,2740820
FKSCLG,LOC-2-2603-000890,1582000
FKSCLG,LOC-2-2603-000891,1582000
FKSCLG,LOC-2-2603-000892,1582000
FKSCLG,LOC-2-2603-000894,900000
FKSCLG,LOC-2-2603-000895,900000
FKSCLG,LOC-2-2603-000896,900000
FKSCLG,LOC-2-2603-000897,900000
FKSCLG,LOC-2-2603-000898,1000000
FKSCLG,LOC-2-2603-000899,900000
FKSCLG,LOC-2-2603-000919,900000
FKSCLG,LOC-2-2603-000920,900000
FKSCLG,LOC-2-2603-000921,1000000
FKSCLG,LOC-2-2603-000922,1000000
FKSCLG,LOC-2-2603-000923,6447222
FKSCLG,LOC-2-2603-000924,6451746
FKSCLG,LOC-2-2603-000925,6462882
FKSCLG,LOC-2-2603-000926,6450528
FKSCLG,LOC-2-2603-000927,6448788
FKSCLG,LOC-2-2603-000928,2100000
FKSCLG,LOC-2-2603-000929,900000
FKSCLG,LOC-2-2603-000930,900000
FKSCLG,LOC-2-2603-000931,1650000
FKSCLG,LOC-2-2603-000933,1430000
FKSCLG,LOC-2-2603-000934,900000
FKSCLG,LOC-2-2603-000935,900000
FKSCLG,LOC-2-2603-000936,900000
FKSCLG,LOC-2-2603-000938,6463926
FKSCLG,LOC-2-2603-000939,6448614
FKSCLG,LOC-2-2603-000940,6449136
FKSCLG,LOC-2-2603-000941,6453834
FKSCLG,LOC-2-2603-000942,6450006
FKSCLG,LOC-2-2603-000943,6457836
FKSCLG,LOC-2-2603-000945,4144000
FKSCLG,LOC-2-2603-000946,4144000
FKSCLG,LOC-2-2603-000947,4144000
FKSCLG,LOC-2-2603-000949,3248100
FKSCLG,LOC-2-2603-000950,1395310
FKSCLG,LOC-2-2603-000951,2928300
FKSCLG,LOC-2-2603-000952,2155160
FKSCLG,LOC-2-2603-000953,7396200
FKSCLG,LOC-2-2603-000954,12472480
FKSCLG,LOC-2-2603-000955,4600000
FKSCLG,LOC-2-2603-000957,2000000
FKSCLG,LOC-2-2603-000958,2070000
